case_id,algorithm,selected_item_ids_checksum,median_wall_runtime_seconds_level_03,median_used_container_count_level_03,median_total_container_cost_level_03,level_id_level_03,median_wall_runtime_seconds_level_04,median_used_container_count_level_04,median_total_container_cost_level_04,level_id_level_04,median_wall_runtime_seconds_level_05,median_used_container_count_level_05,median_total_container_cost_level_05,level_id,level_04_vs_03_runtime_ratio,level_05_vs_04_runtime_ratio,level_04_minus_03_containers,level_05_minus_04_containers
random_random_s211_i100,extreme_point_best_fit,2ce2a689c69412576a88b8ec7faec1518cf6a7dc1f5c30ffc81c95850ad86e54,1.1701167999999598,4.0,8000.0,level_03,1.1523029999807477,5.0,10000.0,level_04,1.3013481999805665,5.0,10000.0,level_05,0.984776049690755,1.1293454933314493,1.0,0.0
random_random_s211_i100,extreme_point_ffd,2ce2a689c69412576a88b8ec7faec1518cf6a7dc1f5c30ffc81c95850ad86e54,1.0335620999976527,4.0,8000.0,level_03,1.0137057999963872,5.0,10000.0,level_04,1.083236999984365,5.0,10000.0,level_05,0.9807884789880448,1.0685911040345488,1.0,0.0
random_random_s211_i100,maximal_space_best_fit,2ce2a689c69412576a88b8ec7faec1518cf6a7dc1f5c30ffc81c95850ad86e54,0.9557942999817896,4.0,8000.0,level_03,0.8527059000043664,5.0,10000.0,level_04,0.8981674999813549,5.0,10000.0,level_05,0.8921437384807722,1.0533145132181632,1.0,0.0
random_random_s211_i20,extreme_point_best_fit,c04ebcba10e993e4890edb440078b21f4a79d34cc2232989a5de2041243d03d7,0.3555548000149429,1.0,2000.0,level_03,0.4205874000035692,2.0,4000.0,level_04,0.3557866000046488,2.0,4000.0,level_05,1.182904576132549,0.8459278618466209,1.0,0.0
random_random_s211_i20,extreme_point_ffd,c04ebcba10e993e4890edb440078b21f4a79d34cc2232989a5de2041243d03d7,0.3565441000100691,1.0,2000.0,level_03,0.4195292000076733,2.0,4000.0,level_04,0.4709924999915529,2.0,4000.0,level_05,1.1766544446979363,1.1226691729275062,1.0,0.0
random_random_s211_i20,maximal_space_best_fit,c04ebcba10e993e4890edb440078b21f4a79d34cc2232989a5de2041243d03d7,0.3546450000139884,1.0,2000.0,level_03,0.4992733999970369,2.0,4000.0,level_04,0.5278431999904569,2.0,4000.0,level_05,1.4078117553535052,1.0572227560963383,1.0,0.0
random_random_s211_i200,extreme_point_best_fit,2d82f708a930cdf44029210e003eda22af2b4fde346b87ee125af96d9c96c413,2.880774499994004,8.0,16000.0,level_03,3.5276774999802,9.0,18000.0,level_04,5.487633900018409,9.0,18000.0,level_05,1.2245587080792135,1.5555939850083262,1.0,0.0
random_random_s211_i200,extreme_point_ffd,2d82f708a930cdf44029210e003eda22af2b4fde346b87ee125af96d9c96c413,2.67752689999179,8.0,16000.0,level_03,3.0823765999812167,9.0,18000.0,level_04,4.360155800008215,9.0,18000.0,level_05,1.1512028506569507,1.4145435051754496,1.0,0.0
random_random_s211_i200,maximal_space_best_fit,2d82f708a930cdf44029210e003eda22af2b4fde346b87ee125af96d9c96c413,2.1969617000140715,7.0,14000.0,level_03,2.3205739999830257,8.0,16000.0,level_04,3.09925870000734,8.0,16000.0,level_05,1.0562651137560397,1.335556935495274,1.0,0.0
random_random_s211_i300,extreme_point_best_fit,25dfd69657bedd98d82c0dd23680d191a9471562a50bef90d739c272d630d181,4.913063400017563,12.0,24000.0,level_03,5.215724999987288,13.0,26000.0,level_04,9.621978200011654,13.0,26000.0,level_05,1.0616034386954263,1.8448016718740163,1.0,0.0
